full_code,short_code,name,name_cy,slug,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon,"lat,lon"
uk.org.mysociety.cons.ukparl.2025.eha,UKPARL.2025.EHA,East Hampshire,,east-hampshire,E14001214,EHA,England,South East,county,69959,513.9860862,136.1106884,51.08700504,-1.000548318,"51.0870050369353,-1.00054831813197"
uk.org.mysociety.cons.ukparl.2025.neh,UKPARL.2025.NEH,North East Hampshire,,north-east-hampshire,E14001392,NEH,England,South East,county,73306,327.3506525,223.937235,51.28196844,-0.9579926943,"51.2819684399669,-0.957992694251399"
uk.org.mysociety.cons.ukparl.2025.bsk,UKPARL.2025.BSK,Basingstoke,,basingstoke,E14001078,BSK,England,South East,borough,77050,78.6102007,980.1526941,51.25024345,-1.157095771,"51.2502434536543,-1.15709577118925"
uk.org.mysociety.cons.ukparl.2025.nwh,UKPARL.2025.NWH,North West Hampshire,,north-west-hampshire,E14001403,NWH,England,South East,county,76004,446.2969034,170.2991874,51.2890101,-1.327118631,"51.2890100992534,-1.32711863051932"
uk.org.mysociety.cons.ukparl.2025.rso,UKPARL.2025.RSO,Romsey and Southampton North,,romsey-and-southampton-north,E14001449,RSO,England,South East,county,73831,535.7977428,137.7963998,51.10069552,-1.515465539,"51.1006955205517,-1.51546553886858"
uk.org.mysociety.cons.ukparl.2025.sot,UKPARL.2025.SOT,Southampton Test,,southampton-test,E14001500,SOT,England,South East,borough,69960,23.51276149,2975.405505,50.92311752,-1.429919916,"50.9231175227058,-1.42991991607185"
uk.org.mysociety.cons.ukparl.2025.soi,UKPARL.2025.SOI,Southampton Itchen,,southampton-itchen,E14001499,SOI,England,South East,borough,72150,25.34171887,2847.083908,50.90403155,-1.370197638,"50.9040315519347,-1.37019763816817"
uk.org.mysociety.cons.ukparl.2025.nfe,UKPARL.2025.NFE,New Forest East,,new-forest-east,E14001373,NFE,England,South East,county,73823,415.661759,177.6035404,50.85133066,-1.521746141,"50.851330663534,-1.52174614087197"
uk.org.mysociety.cons.ukparl.2025.nfw,UKPARL.2025.NFW,New Forest West,,new-forest-west,E14001374,NFW,England,South East,county,71009,360.6239153,196.9059649,50.86665263,-1.743506627,"50.8666526273118,-1.74350662746012"
uk.org.mysociety.cons.ukparl.2025.esl,UKPARL.2025.ESL,Eastleigh,,eastleigh,E14001220,ESL,England,South East,borough,69982,51.06014122,1370.579837,50.96373721,-1.340761143,"50.963737211353,-1.34076114282527"
